name,version,dependency_count
pkg_manager,0.1.1,4.0
pkgar,0.1.15,72.0
pkgar-core,0.1.15,33.0
pkgar-keys,0.1.15,71.0
pkgar-repo,0.1.15,0.0
pkgbob,0.0.6,82.0
pkgbuild,0.0.0,
plot_interface,0.1.3,57.0
plotapi,0.1.1,11.0
plotcap,0.1.3,15.0
plotchart,0.2.12,16.0
ploteria,0.1.0,4.0
plotfx,0.1.0,0.0
plotka,0.0.0,
plotlars,0.8.1,105.0
plotlib,0.5.1,2.0
plotly,0.12.1,34.0
plotly-fork,0.8.4,34.0
plotly_derive,0.12.1,9.0
plotly_kaleido,0.12.1,12.0
plotly_orca,0.0.0,
plotpoint,0.1.8,15.0
plotpy,1.13.0,1.0
plotrs,0.1.3,85.0
plotsweep,0.1.0,32.0
oldwin-vc-ltl5,0.1.1,0.0
oldwin-yy-thunks,0.1.1,0.0
ole,0.1.15,0.0
ole32-sys,0.2.0,3.0
oleaut32-sys,0.2.0,3.0
oled,0.0.0,5.0
oled_shmoled,0.2.1,33.0
olekit,1.0.2,11.0
olha,0.0.0,0.0
oli,0.41.17,136.0
oli-tui,0.1.0,163.0
olibs724-service,0.0.0,
oliframe,0.3.0,45.0
olimex-stm32-p107,0.1.0,25.0
olin,0.3.0,14.0
olinker,0.1.0,0.0
olio,1.4.0,1.0
olis_string,0.1.3,0.0
olivarius-art,0.0.0,
self-rust-tokenize,0.4.0,7.0
self-rust-tokenize-derive,0.4.1,6.0
self-signed-cert,1.0.3,29.0
self_cell,1.1.0,0.0
self_encryption,0.31.0,71.0
self_sdk,0.1.0,137.0
self_service,0.0.0,120.0
self_update,0.42.0,107.0
self_update_danger_no_ssl_verify,0.38.0,106.0
selfe-arc,0.1.1,1.0
selfe-config,0.2.1,9.0
selfe-runtime,0.1.1,1.0
selfe-start,0.1.0,2.0
selfe-sys,0.1.1,0.0
selfie,0.0.3,1.0
selfish,0.1.0,26.0
selfref,0.4.3,0.0
selfserv-daemon,0.2.0,98.0
selfsimilar,0.1.0,8.0
selfstack,0.3.0,4.0
ucd-data,0.1.0,0.0
ucd-generate,0.3.1,9.0
ucd-parse,0.1.13,1.0
ucd-raw,0.5.0,0.0
ucd-trie,0.1.7,0.0
ucd-util,0.2.2,0.0
ucelofka,0.3.0,103.0
ucf,0.1.5,34.0
ucfirst,0.3.0,0.0
ucg,0.7.2,65.0
uchan,0.1.4,2.0
uchardet,2.0.4,3.0
uchardet-sys,2.0.3,1.0
uchimizu,0.0.1,0.0
uchr,0.0.2,0.0
uchrono,0.1.1,0.0
uchu,0.1.0,4.0
uci,0.2.3,1.0
uci-parser,1.1.0,8.0
uci_rs,0.1.2,1.0
eodhd_rs,0.2.0,120.0
eodhistoricaldata_api,0.4.0,93.0
eoe,0.2.0,5.0
eoflint,0.2.0,19.0
eol,0.1.1,4.0
eolib,2.1.1,13.0
eom,0.11.0,31.0
eon,0.0.0,
eon-rs,1.0.0,0.0
eonil_apple_oslog,0.1.2,1.0
eons,0.1.0,108.0
eopl,0.0.0,
eopsin,0.0.0,0.0
eorst,0.2.0,62.0
eos,0.0.0,0.0
eos-eapi,0.2.0,24.0
eos-s3,0.1.0,11.0
eos-tz,0.0.0,0.0
eos-tzdata,0.0.0,0.0
veruna-data,0.0.0,
veruna-kernel,0.0.0,
verus,0.0.0,0.0
verusfmt,0.5.3,48.0
verust,0.2.4,3.0
verver,0.0.1,1.0
vervolg,0.1.0,21.0
very-bad-error-propagation,0.1.1,0.0
very-trash-cli,0.1.0,22.0
very_basic_crate,0.2.0,0.0
very_primitive_tables,0.1.3,0.0
very_simple_2d,1.0.0,0.0
very_simple_2d_core,0.6.0,6.0
very_simple_trie,0.1.3,0.0
veryfast,0.3.1,2.0
veryfi,1.0.0,89.0
migrations_internals,2.2.0,9.0
migrations_macros,2.2.0,10.0
migrator,0.1.0,206.0
migratour,0.1.1,82.0
migres,0.0.1,74.0
mih-rs,0.3.1,3.0
miho,7.0.0,157.0
miho_derive,5.2.0,4.0
mii,0.1.1,1.0
miio-proto,0.1.5,43.0
mijia,0.7.1,53.0
mijia-homie,0.2.7,155.0
mijit,0.2.4,9.0
mik32-rt,0.1.0,12.0
mik32-rt-macros,0.5.0,6.0
mik32v2-pac,0.0.1,6.0
mika,0.0.0,39.0
mikado,0.1.0,0.0
mikan-rs,0.1.4,74.0
mikasa-utils,0.1.0,4.0
iap-jwt,0.2.0,40.0
iapi,0.1.0,72.0
iapiab,0.1.0,142.0
iapp_doc_test,0.0.0,
iaq-core,0.1.0,2.0
iarapi-rs,0.1.1,11.0
iargs,0.1.0,0.0
iars,0.1.0,11.0
ias,0.2.1,44.0
iasc,0.1.0,4.0
iascar,0.2.1,22.0
iastconvert,0.1.2,10.0
iasthk,1.0.1,5.0
iat,0.1.2,4.0
iata-types,0.1.4,6.0
iata_bcbp,1.0.0,3.0
iay,0.4.3,63.0
ib,3.0.0,71.0
bevy_koto,0.2.0,142.0
bevy_kwai_interactive_live,0.1.2,139.0
bevy_la_mesa,0.15.4,140.0
bevy_landmass,0.8.0,135.0
bevy_lazy_prefabs,0.2.1,117.0
bevy_ldtk,0.5.0,116.0
bevy_ldtk_asset,0.6.4,214.0
bevy_leat,0.0.0,0.0
bevy_level,0.0.1,0.0
bevy_libgdx_atlas,0.3.2,110.0
bevy_library,0.0.1,0.0
bevy_life,0.11.0,108.0
bevy_light_2d,0.5.0,108.0
bevy_light_field,0.8.0,194.0
bevy_lighting,0.0.1,0.0
bevy_lightspeed2d,0.1.0,0.0
bevy_lightspeed3d,0.1.0,0.0
bevy_lightspeed4d,0.1.0,0.0
bevy_lightyear,0.1.0,58.0
dangerous_option,0.2.0,0.0
dangit,0.1.0,90.0
dango,0.1.1,25.0
dango-core,0.1.1,166.0
dango-music-player,0.0.0,0.0
dango-tui,0.0.0,0.0
daniel_crate,0.1.1,0.0
danielfns,0.1.0,0.0
danielq_art,0.0.0,
daniels_basic_math,0.1.1,0.0
dankboi,0.1.2,82.0
danmu2ass,0.2.1,117.0
danmuji,0.1.0,122.0
dano,0.9.1,43.0
dantalian,0.4.6,105.0
dante-cli,0.8.3,42.0
dante-control-rs,0.8.2,29.0
danu,0.0.0,0.0
danube-client,0.3.4,60.0
danube-core,0.3.4,48.0
deallocate-zeroed,0.2.0,1.0
deam,0.0.0,0.0
dean_minigrep,0.1.1,0.0
deanonro,0.1.0,124.0
dear,0.1.1,6.0
dearbitrary,1.0.4,0.0
dearbitrary_derive,1.0.1,4.0
deary,0.0.1,54.0
deasync,0.1.0,4.0
death,0.1.0,0.0
death_god_logging_tool,4.1.3,34.0
deathframe,0.5.1,293.0
deathrip,0.2.1,112.0
deb,0.5.18,10.0
deb-architectures,0.1.0,0.0
deb-control,0.0.0,
deb-libsolv-resolver,0.0.0,
deb-rs,0.1.2,8.0
deb-rust,0.1.2,29.0
deb-version,0.1.1,0.0
rust_caching,0.0.0,
rust_calendar_parser,0.1.1,19.0
rust_cards,0.1.2,8.0
rust_cargo_test,0.1.1,0.0
rust_cascade,1.5.0,18.0
rust_cast,0.19.0,42.0
rust_cfg_parser,0.1.0,1.0
rust_chacha20,0.3.0,0.0
rust_ci,0.1.0,35.0
rust_class,0.1.0,0.0
rust_clear,0.1.0,27.0
rust_cli,0.1.0,35.0
rust_client,0.2.3,93.0
rust_closure,0.1.0,0.0
rust_clue_solver_2,0.1.2,0.0
rust_cn,0.1.6,0.0
rust_code_organization,0.0.0,
rust_code_visualizer,0.1.2,9.0
rust_coinlive,0.1.0,102.0
rust_combinatorics,0.1.0,0.0
nenya-sentinel,0.0.1,0.0
neo,0.3.3,113.0
neo-babylon,0.2.0,17.0
neo-crypto,0.1.3,17.0
neo-email,0.1.1,111.0
neo-mime,0.1.1,2.0
neo-mime-macro,0.1.1,6.0
neo-mime-parse,0.1.0,0.0
neo-sync,0.0.8,97.0
neo-web3,0.1.0,83.0
neo3,0.1.9,267.0
neo4j,0.2.0,62.0
neo4j-cli,0.1.0,116.0
neo4j_cypher,0.2.2,0.0
neo4j_testcontainers,0.3.0,104.0
neo4rs-macros,0.3.0,4.0
neo_trinkey,0.2.1,46.0
neobirth,0.1.1,56.0
solana-sys-tuner,1.14.29,85.0
solana-system-client,0.0.1,130.0
solana-system-instruction,0.0.1,0.0
solana-system-interface,1.0.0,51.0
solana-system-program,2.2.3,148.0
solana-system-transaction,2.2.1,75.0
solana-sysvar,2.2.1,75.0
solana-sysvar-id,2.2.1,52.0
solana-test,0.1.0,125.0
solana-test-client,0.1.0,497.0
solana-test-utils,0.1.19,538.0
solana-test-validator,2.2.3,
solana-thin-client,2.2.3,198.0
solana-time-utils,2.2.1,0.0
solana-timings,2.2.3,54.0
solana-tls-utils,2.2.3,95.0
solana-token-api,0.19.1,182.0
solana-token-program,0.0.0,
solana-tokens,2.2.3,371.0
solana-tps-client,2.2.3,401.0
moonramp-core,0.1.22,1.0
moonramp-encryption,0.1.22,3.0
moonramp-entity,0.1.22,2.0
moonramp-gateway,0.1.22,17.0
moonramp-http,0.1.22,4.0
moonramp-lunar,0.1.22,16.0
moonramp-lunar-core,0.1.22,10.0
moonramp-lunar-macro,0.1.22,4.0
moonramp-migration,0.1.22,64.0
moonramp-program,0.1.22,18.0
moonramp-program-rpc,0.1.22,115.0
moonramp-registry,0.1.22,2.0
moonramp-rpc,0.1.22,2.0
moonramp-sale,0.1.22,17.0
moonramp-sale-rpc,0.1.22,116.0
moonramp-wallet,0.1.22,2.0
moonramp-wallet-rpc,0.1.22,105.0
moonsdk,1.0.1,89.0
moonshine,0.0.0,0.0
crudcrate,0.2.4,97.0
crudcrate-derive,0.1.4,4.0
crude,0.0.1,4.0
crude-profiler,0.1.7,1.0
crude_cache,0.1.1,21.0
crudite,0.1.0,13.0
crudkit,0.0.0,0.0
crudx,1.1.0,6.0
cruet,0.15.0,4.0
crufst,0.1.0,0.0
cruiser,0.2.0,148.0
cruiser_derive,0.2.0,26.0
crulz,0.0.7,49.0
crum,0.3.0,10.0
crumb,0.2.1,0.0
crumble,0.10.2,7.0
crumble_ci,0.1.0,21.0
crumbles,0.3.0,2.0
crumsort,0.1.0,6.0
crunch,0.5.3,0.0
nu_plugin_ws,0.3.0,152.0
nu_plugin_x509,0.1.1,144.0
nu_plugin_xpath,0.44.0,148.0
nuage,0.1.0,0.0
nuance,0.3.2,194.0
nub,0.0.0,0.0
nuban,1.1.0,0.0
