crate_name,version,time_taken
gwasm-api,0.3.0,1.8484502921346575
rscx-macros,0.1.14,timeout
gwasm-instrument,0.3.0,1.4996665001381189
rscx-mdx,0.1.7,timeout
rscx-web-macros,0.3.0,timeout
rsd,0.1.0,timeout
gwdiff,1.0.0,0.9551589998882264
rsdate,0.5.0,timeout
rsdb,0.12.1,timeout
gwipt,0.5.0,1.9352267920039592
gweiyser,0.1.4,2.789486665977165
rsdbc-core,0.0.1,timeout
rsdbc-mysql,0.0.1,timeout
gwv,0.3.2,1.6097178340423852
gwasm-dispatcher,0.1.0,timeout
gx,0.1.0,0.6272271671332419
gwasmi,0.30.0,timeout
gwasmi_core,0.12.0,timeout
gwmp-mux,0.11.0,108.00804937514476
gwd-backend-firefox,0.1.5,timeout
gweather-sys,4.5.0,timeout
pkg-utils,0.1.0,0.821168249938637
gwordle,0.1.2,timeout
gworld,0.1.0,timeout
gwy15-common,0.1.0,timeout
pkg-version-impl,0.1.1,1.4354420418385416
pkg-version,1.0.0,4.39423150010407
gwyh,0.1.0,timeout
pkg6dev,0.1.1,1.63154854089953
pkg_impl,2.0.0,0.6587235410697758
gx21m15,0.1.1,timeout
gxccd,0.1.1,timeout
gxci,0.3.7,timeout
pkgar-repo,0.1.15,0.6385579579509795
pkg-macros,3.0.0,timeout
pkg-types,0.1.0,timeout
pkg-version-parser,0.1.1,timeout
pkg_compile_time,0.1.3,timeout
pkgar,0.1.15,timeout
pkg_manager,0.1.1,timeout
pkgar-core,0.1.15,timeout
plotfx,0.1.0,0.9027055408805608
plotlars,0.8.1,1.604665500111878
plotlib,0.5.1,6.926939666969702
pkgar-keys,0.1.15,timeout
pkgbob,0.0.6,timeout
plot_interface,0.1.3,timeout
plotpy,1.13.0,1.3817608749959618
plotapi,0.1.1,timeout
plotcap,0.1.3,timeout
oldwin-vc-ltl5,0.1.1,0.8289254589471966
oldwin-yy-thunks,0.1.1,0.7048712919931859
ole,0.1.15,0.6280977500136942
ole32-sys,0.2.0,43.23091233312152
oleaut32-sys,0.2.0,43.75983458315022
plotchart,0.2.12,timeout
ploteria,0.1.0,timeout
plotly,0.12.1,timeout
olha,0.0.0,0.6624588340055197
plotly-fork,0.8.4,timeout
oli,0.41.17,1.717605791054666
oli-tui,0.1.0,1.9306420828215776
plotly_derive,0.12.1,timeout
plotly_kaleido,0.12.1,timeout
olinker,0.1.0,0.7523782087955624
plotpoint,0.1.8,timeout
olis_string,0.1.3,0.6437477499712259
plotrs,0.1.3,timeout
olio,1.4.0,6.192979290848598
plotsweep,0.1.0,timeout
self_cell,1.1.0,0.6913566670846194
oled,0.0.0,timeout
self_sdk,0.1.0,1.9586752499453723
self_service,0.0.0,1.5494641249533745
self_update,0.42.0,1.4982433340046557
self_update_danger_no_ssl_verify,0.38.0,1.527728290995583
selfe-arc,0.1.1,1.2793458749074489
oled_shmoled,0.2.1,timeout
olekit,1.0.2,timeout
selfe-runtime,0.1.1,1.8822418751660737
selfe-sys,0.1.1,0.6650885841809213
selfe-start,0.1.0,3.046040083048865
selfie,0.0.3,1.7451954158023
selfref,0.4.3,0.6967167921829969
oliframe,0.3.0,timeout
olimex-stm32-p107,0.1.0,timeout
olin,0.3.0,timeout
ucd-data,0.1.0,0.737395916832611
self-rust-tokenize,0.4.0,timeout
self-rust-tokenize-derive,0.4.1,timeout
ucd-parse,0.1.13,1.474422583123669
ucd-raw,0.5.0,0.8089450830593705
ucd-trie,0.1.7,0.7120064168702811
ucd-util,0.2.2,0.6947891658637673
ucelofka,0.3.0,1.5935319170821458
ucfirst,0.3.0,0.7579336669296026
self-signed-cert,1.0.3,timeout
uchan,0.1.4,12.37194166588597
self_encryption,0.31.0,timeout
uchardet-sys,2.0.3,6.4460020831320435
uchimizu,0.0.1,0.6982187079265714
uchr,0.0.2,0.724746708991006
uchrono,0.1.1,0.713947624899447
selfe-config,0.2.1,timeout
uci,0.2.3,4.039863999933004
selfish,0.1.0,timeout
selfserv-daemon,0.2.0,timeout
selfsimilar,0.1.0,timeout
uci_rs,0.1.2,1.6876256249379369
selfstack,0.3.0,timeout
eodhd_rs,0.2.0,1.7815999588929117
ucd-generate,0.3.1,timeout
ucf,0.1.5,timeout
ucg,0.7.2,timeout
eon-rs,1.0.0,0.6902437910903245
eonil_apple_oslog,0.1.2,6.117152167018503
eons,0.1.0,1.589299124898389
eopsin,0.0.0,0.6414920419920236
uchardet,2.0.4,timeout
eos,0.0.0,0.6624744171276689
uchu,0.1.0,timeout
uci-parser,1.1.0,timeout
eos-tz,0.0.0,0.8400347500573844
eos-tzdata,0.0.0,0.7306485411245376
verus,0.0.0,0.8080854581203312
eodhistoricaldata_api,0.4.0,timeout
eoe,0.2.0,timeout
eoflint,0.2.0,timeout
vervolg,0.1.0,0.6382673329208046
eol,0.1.1,timeout
very-bad-error-propagation,0.1.1,0.7014894580934197
verver,0.0.1,1.457767958054319
very_basic_crate,0.2.0,0.6494878330267966
very_primitive_tables,0.1.3,0.7579277500044554
very_simple_2d,1.0.0,0.7647635419853032
very_simple_trie,0.1.3,0.6944875419139862
eolib,2.1.1,timeout
veryfi,1.0.0,0.6841241670772433
eom,0.11.0,timeout
eorst,0.2.0,timeout
migrator,0.1.0,2.865208667004481
eos-eapi,0.2.0,timeout
veryfast,0.3.1,83.01967266690917
eos-s3,0.1.0,timeout
miho,7.0.0,1.881521000061184
mih-rs,0.3.1,86.19925429113209
mii,0.1.1,1.4122872091829777
verusfmt,0.5.3,timeout
verust,0.2.4,timeout
very-trash-cli,0.1.0,timeout
very_simple_2d_core,0.6.0,timeout
mijia-homie,0.2.7,2.872073167003691
migrations_internals,2.2.0,timeout
migrations_macros,2.2.0,timeout
migratour,0.1.1,timeout
mikado,0.1.0,0.8283635000698268
migres,0.0.1,timeout
miho_derive,5.2.0,timeout
miio-proto,0.1.5,timeout
mijia,0.7.1,timeout
iapiab,0.1.0,2.025963375112042
iaq-core,0.1.0,6.617621500045061
mijit,0.2.4,timeout
iargs,0.1.0,0.8263974580913782
mik32-rt,0.1.0,timeout
mik32-rt-macros,0.5.0,timeout
mik32v2-pac,0.0.1,timeout
mika,0.0.0,timeout
mikan-rs,0.1.4,timeout
mikasa-utils,0.1.0,timeout
iap-jwt,0.2.0,timeout
iapi,0.1.0,timeout
iata_bcbp,1.0.0,350.6386052498128
iarapi-rs,0.1.1,timeout
iars,0.1.0,timeout
ias,0.2.1,timeout
iasc,0.1.0,timeout
bevy_kwai_interactive_live,0.1.2,2.062731415964663
bevy_koto,0.2.0,2.5687309170607477
bevy_la_mesa,0.15.4,2.057102791033685
iascar,0.2.1,timeout
bevy_lazy_prefabs,0.2.1,1.871820000000298
bevy_landmass,0.8.0,2.058479500003159
bevy_ldtk,0.5.0,1.6955788331106303
bevy_level,0.0.1,0.8562430827878416
bevy_leat,0.0.0,0.9489780000876636
bevy_ldtk_asset,0.6.4,2.865165375173092
bevy_library,0.0.1,0.8190245418809354
bevy_libgdx_atlas,0.3.2,1.6359603751916438
bevy_lighting,0.0.1,0.7592351250350475
bevy_light_field,0.8.0,0.8094862080179155
bevy_life,0.11.0,1.851168042048812
iastconvert,0.1.2,timeout
bevy_light_2d,0.5.0,1.740666292142123
bevy_lightspeed3d,0.1.0,0.7250598750542849
bevy_lightspeed2d,0.1.0,0.816539625171572
bevy_lightspeed4d,0.1.0,0.7844770411029458
dangerous_option,0.2.0,0.8127409999724478
dango-music-player,0.0.0,0.8174176670145243
dango-tui,0.0.0,0.7470499170012772
dango-core,0.1.1,2.0506172080058604
danielfns,0.1.0,0.7160673749167472
daniel_crate,0.1.1,0.7469941249582916
daniels_basic_math,0.1.1,0.7526678338181227
danmu2ass,0.2.1,1.7276524170301857
danmuji,0.1.0,1.587466917000711
iasthk,1.0.1,timeout
iat,0.1.2,timeout
dantalian,0.4.6,1.5970894580241293
iata-types,0.1.4,timeout
danu,0.0.0,0.9328894580248744
iay,0.4.3,timeout
ib,3.0.0,timeout
deallocate-zeroed,0.2.0,1.728380624903366
deam,0.0.0,0.7185182499233633
dean_minigrep,0.1.1,0.7760864580050111
deanonro,0.1.0,1.659537041094154
bevy_lightyear,0.1.0,timeout
dangit,0.1.0,timeout
dango,0.1.1,timeout
dearbitrary,1.0.4,1.0503637501969934
dankboi,0.1.2,timeout
death,0.1.0,0.707683082902804
dano,0.9.1,timeout
deathframe,0.5.1,0.9306424998212606
deathrip,0.2.1,1.4036293330136689
dante-cli,0.8.3,timeout
dante-control-rs,0.8.2,timeout
deb-architectures,0.1.0,0.7425764161162078
deb-rust,0.1.2,0.6396649160888046
deb-version,0.1.1,0.7494989580009133
danube-client,0.3.4,timeout
danube-core,0.3.4,timeout
rust_cargo_test,0.1.1,1.0022788748610765
dear,0.1.1,timeout
dearbitrary_derive,1.0.1,timeout
deary,0.0.1,timeout
deasync,0.1.0,timeout
rust_chacha20,0.3.0,0.9372252910397948
rust_class,0.1.0,0.7604541247710586
rust_cfg_parser,0.1.0,2.044392082840204
death_god_logging_tool,4.1.3,timeout
deb,0.5.18,timeout
rust_closure,0.1.0,0.7743144170381129
rust_clue_solver_2,0.1.2,0.789964749943465
rust_cn,0.1.6,0.7628671249840409
deb-rs,0.1.2,timeout
rust_calendar_parser,0.1.1,timeout
rust_coinlive,0.1.0,1.4588016248308122
rust_combinatorics,0.1.0,0.7331137910950929
nenya-sentinel,0.0.1,0.7720392909832299
neo,0.3.3,1.6174313749652356
rust_cards,0.1.2,timeout
neo-email,0.1.1,1.5646761250682175
neo-mime,0.1.1,2.7622735830955207
rust_cascade,1.5.0,timeout
neo-mime-parse,0.1.0,0.9601929169148208
rust_cast,0.19.0,timeout
rust_ci,0.1.0,timeout
rust_clear,0.1.0,timeout
rust_cli,0.1.0,timeout
neo3,0.1.9,1.255724749993533
neo4j,0.2.0,0.7552726250141859
neo4j_cypher,0.2.2,0.8362332091201097
neo4j-cli,0.1.0,1.6999481250531971
rust_client,0.2.3,timeout
neo4j_testcontainers,0.3.0,1.6114145000465214
rust_code_visualizer,0.1.2,timeout
solana-system-client,0.0.1,1.755793666932732
solana-system-instruction,0.0.1,0.6849933748599142
neo-babylon,0.2.0,timeout
neo-crypto,0.1.3,timeout
solana-system-program,2.2.3,1.8736044999677688
solana-system-transaction,2.2.1,1.2399106668308375
solana-sysvar,2.2.1,1.2746033750008792
solana-test,0.1.0,1.5353242501150817
solana-test-client,0.1.0,61.69815737497993
solana-test-utils,0.1.19,5.890549042029306
neo-mime-macro,0.1.1,timeout
solana-thin-client,2.2.3,2.3638078330550343
solana-time-utils,2.2.1,0.7015275829471648
neo-sync,0.0.8,timeout
solana-tls-utils,2.2.3,1.3856542091816664
solana-token-api,0.19.1,2.0494429159443825
solana-tokens,2.2.3,0.8355351670179516
solana-tps-client,2.2.3,4.0688884172122926
moonramp-core,0.1.22,1.3764450408052653
neo-web3,0.1.0,timeout
moonramp-entity,0.1.22,3.729506458155811
neo4rs-macros,0.3.0,timeout
neo_trinkey,0.2.1,timeout
neobirth,0.1.1,timeout
solana-sys-tuner,1.14.29,timeout
solana-system-interface,1.0.0,timeout
solana-sysvar-id,2.2.1,timeout
moonramp-encryption,0.1.22,139.8933827499859
moonramp-program-rpc,0.1.22,1.363802791107446
moonramp-registry,0.1.22,3.675268999999389
moonramp-rpc,0.1.22,3.565493542002514
solana-test-validator,2.2.3,timeout
moonramp-sale-rpc,0.1.22,1.4173769170884043
moonramp-wallet,0.1.22,4.072583417175338
moonramp-wallet-rpc,0.1.22,1.442559832939878
solana-timings,2.2.3,timeout
moonshine,0.0.0,0.7503249170258641
moonramp-gateway,0.1.22,timeout
moonramp-http,0.1.22,timeout
moonramp-lunar,0.1.22,timeout
moonramp-lunar-core,0.1.22,timeout
moonramp-lunar-macro,0.1.22,timeout
crude-profiler,0.1.7,1.6357720410451293
crudkit,0.0.0,0.7944961250759661
moonramp-migration,0.1.22,timeout
moonramp-program,0.1.22,timeout
crufst,0.1.0,0.6896911670919508
cruiser,0.2.0,1.9747839169576764
moonramp-sale,0.1.22,timeout
crulz,0.0.7,0.6271344590932131
moonsdk,1.0.1,timeout
crumb,0.2.1,0.752804416930303
crudcrate,0.2.4,timeout
crudcrate-derive,0.1.4,timeout
crude,0.0.1,timeout
crude_cache,0.1.1,timeout
crudite,0.1.0,timeout
crunch,0.5.3,0.706072541186586
nu_plugin_ws,0.3.0,1.885468875057995
crudx,1.1.0,timeout
nu_plugin_x509,0.1.1,1.7571001248434186
nu_plugin_xpath,0.44.0,0.6051675409544259
nuage,0.1.0,0.6843957910314202
nuance,0.3.2,0.689183791866526
nub,0.0.0,0.6892770829144865
nuban,1.1.0,0.6710482079070061
nuban_rust,0.1.1,0.6767533330712467
cruet,0.15.0,timeout
cruiser_derive,0.2.0,timeout
crum,0.3.0,timeout
crumble,0.10.2,timeout
crumble_ci,0.1.0,timeout
crumbles,0.3.0,166.71888541593216
nucleic,0.0.1,0.8332430829759687
nucleic-acid,0.1.1,12.089676541043444
nucleic-acids,0.1.0,0.7664869169238955
crumsort,0.1.0,timeout
nube,0.0.1,timeout
nubls,0.1.0,timeout
nuc1xx,0.1.2,timeout
nucgen,0.1.2,timeout
disarray-network,0.1.20,1.0867240419611337
disarray-runtime,0.1.20,2.5040411660447717
nuclear,0.0.10,timeout
disasm,0.5.1,2.3055987081024796
disasm-core,0.5.1,1.0366191661451012
disasm-e2k,0.5.2,1.801836249884218
nuclear-router,0.1.0,timeout
disasm-riscv,0.5.1,1.4447248338256031
disasm-test,0.5.1,2.718511125072837
disasm-x86,0.5.1,1.2716336660087109
