Crate Name,Severity Label,On lib.rs
remove_dir_all-0.7.0,LOW_SEVERITY,Yes
safe_vault-0.20.2,UNKNOWN,Yes
tiny_http-0.7.0,LOW_SEVERITY,Yes
gdk-sys-0.18.2,LOW_SEVERITY,Yes
stack-0.3.0,HIGH_SEVERITY,Yes
futures-util-0.3.6,LOW_SEVERITY,Yes
atomic-option-0.1.2,MEDIUM_SEVERITY,Yes
ruspiro-singleton-0.4.0,HIGH_SEVERITY,Yes
buffoon-0.5.0,SAFE,No
gix-attributes-0.22.2,SAFE,Yes
dces-0.3.1,HIGH_SEVERITY,Yes
quinn-proto-0.11.6,LOW_SEVERITY,Yes
cggmp21-keygen-0.1.0,HIGH_SEVERITY,Yes
bigint-4.4.3,LOW_SEVERITY,Yes
bcc-0.0.34,MEDIUM_SEVERITY,Yes
time-0.2.22,LOW_SEVERITY,No
interledger-packet-0.4.0,MEDIUM_SEVERITY,Yes
stackvector-1.0.8,MEDIUM_SEVERITY,Yes
tar-0.4.35,LOW_SEVERITY,Yes
gdkwayland-0.18.2,HIGH_SEVERITY,Yes
rsa-0.9.8,LOW_SEVERITY,No
cpython-0.7.2,LOW_SEVERITY,Yes
libwebp-sys-0.9.2,MEDIUM_SEVERITY,Yes
anstream-0.6.7,LOW_SEVERITY,Yes
rusoto_credential-0.48.0,LOW_SEVERITY,Yes
elf_rs-0.2.0,MEDIUM_SEVERITY,Yes
nanorand-0.6.0,LOW_SEVERITY,Yes
idna-0.5.0,SAFE,Yes
reorder-1.0.3,HIGH_SEVERITY,Yes
zerovec-0.10.3,LOW_SEVERITY,Yes
signal-simple-0.1.1,CRITICAL,Yes
derivative-2.2.0,LOW_SEVERITY,Yes
trillium-http-0.3.11,MEDIUM_SEVERITY,Yes
matrix-sdk-0.6.1,UNKNOWN,Yes
internment-0.4.1,LOW_SEVERITY,Yes
columnar-0.0.19,SAFE,Yes
grep-cli-0.1.5,LOW_SEVERITY,Yes
atty-0.2.14,SAFE,Yes
xmp_toolkit-1.8.1,MEDIUM_SEVERITY,Yes
opentelemetry_api-0.20.0,LOW_SEVERITY,Yes
rustc-serialize-0.3.25,LOW_SEVERITY,Yes
flumedb-0.1.5,CRITICAL,Yes
sharks-0.5.0,MEDIUM_SEVERITY,Yes
rocket-0.4.6,UNKNOWN,Yes
transpose-0.2.2,SAFE,Yes
xml-rs-0.8.25,LOW_SEVERITY,Yes
curve25519-dalek-4.1.2,SAFE,Yes
tower-http-0.2.0,LOW_SEVERITY,Yes
v9-0.1.42,HIGH_SEVERITY,Yes
dashmap-5.0.0,LOW_SEVERITY,Yes
gix-transport-0.41.3,LOW_SEVERITY,Yes
cranelift-codegen-0.73.0,LOW_SEVERITY,Yes
net2-0.2.35,LOW_SEVERITY,Yes
borsh-0.11.0,LOW_SEVERITY,Yes
openslide-0.2.0,CRITICAL,Yes
kvm-ioctls-0.19.0,LOW_SEVERITY,Yes
sass-rs-0.2.2,MEDIUM_SEVERITY,Yes
cosmwasm-vm-1.5.6,UNKNOWN,Yes
stdweb-0.4.20,LOW_SEVERITY,Yes
safe-nd-0.11.7,UNKNOWN,Yes
cosmwasm-0.7.2,LOW_SEVERITY,Yes
orbtk-0.3.0,UNKNOWN,Yes
endian_trait-0.6.0,HIGH_SEVERITY,Yes
tonic-0.12.2,LOW_SEVERITY,Yes
hashbrown-0.15.0,SAFE,Yes
atk-0.18.2,LOW_SEVERITY,Yes
cpuid-bool-0.99.99,SAFE,Yes
tungstenite-0.20.0,LOW_SEVERITY,Yes
static_type_map-0.5.2,SAFE,Yes
obstack-0.1.3,CRITICAL,Yes
parc-1.0.1,CRITICAL,Yes
aesni-0.99.99,SAFE,Yes
multi_mut-0.1.3,HIGH_SEVERITY,Yes
safe_app-0.18.1,UNKNOWN,Yes
blake2-0.8.0,LOW_SEVERITY,Yes
windows-0.31.0,UNKNOWN,Yes
const-cstr-0.3.0,LOW_SEVERITY,Yes
lever-0.1.0,MEDIUM_SEVERITY,Yes
gtk3-macros-0.18.2,LOW_SEVERITY,Yes
sequoia-openpgp-1.20.0,UNKNOWN,Yes
term_size-0.3.2,LOW_SEVERITY,Yes
secp256k1-0.22.1,LOW_SEVERITY,Yes
libdav1d-sys-0.6.0,MEDIUM_SEVERITY,Yes
tokio-1.18.4,SAFE,Yes
term-1.0.1,LOW_SEVERITY,Yes
stb_image-0.2.4,MEDIUM_SEVERITY,Yes
xcb-1.5.0,LOW_SEVERITY,Yes
pnet_packet-0.27.1,LOW_SEVERITY,Yes
sudo-rs-0.2.0,LOW_SEVERITY,Yes
boxfnonce-0.1.1,SAFE,Yes
async-coap-0.1.0,CRITICAL,Yes
arenavec-0.1.1,CRITICAL,Yes
ms3d-0.1.2,HIGH_SEVERITY,Yes
evm-0.35.0,LOW_SEVERITY,Yes
block-cipher-trait-0.99.0,SAFE,Yes
uu_od-0.0.3,LOW_SEVERITY,Yes
simd-json-0.1.14,LOW_SEVERITY,Yes
grcov-0.8.19,LOW_SEVERITY,No
bat-0.18.1,LOW_SEVERITY,Yes
openh264-sys2-0.7.1,MEDIUM_SEVERITY,Yes
bunch-0.1.0,CRITICAL,Yes
chttp-0.1.2,LOW_SEVERITY,Yes
mozjpeg-0.8.17,MEDIUM_SEVERITY,Yes
threadalone-0.2.0,CRITICAL,Yes
lock_api-0.4.1,LOW_SEVERITY,Yes
rdiff-0.1.2,CRITICAL,Yes
mapr-0.8.0,MEDIUM_SEVERITY,Yes
gdkx11-0.18.2,MEDIUM_SEVERITY,Yes
scottqueue-0.1.0,CRITICAL,Yes
untrusted-0.6.1,SAFE,Yes
maligned-0.2.1,MEDIUM_SEVERITY,Yes
rulex-0.4.2,LOW_SEVERITY,Yes
parity-util-mem-0.12.0,LOW_SEVERITY,Yes
cargo-download-0.1.2,UNKNOWN,Yes
conrod_core-0.76.1,LOW_SEVERITY,Yes
cdr-0.2.3,LOW_SEVERITY,Yes
pqc_kyber-0.7.1,MEDIUM_SEVERITY,Yes
trust-dns-proto-0.4.2,LOW_SEVERITY,Yes
chrono-english-0.1.7,MEDIUM_SEVERITY,Yes
qcell-0.4.2,MEDIUM_SEVERITY,Yes
telemetry-0.1.3,MEDIUM_SEVERITY,Yes
lzf-0.3.1,MEDIUM_SEVERITY,Yes
ouch-0.2.0,UNKNOWN,Yes
tls-listener-0.9.1,MEDIUM_SEVERITY,Yes
syncpool-0.1.5,HIGH_SEVERITY,Yes
pqcrypto-kyber-0.8.1,MEDIUM_SEVERITY,Yes
self_cell-0.10.2,LOW_SEVERITY,Yes
spl-token-swap-3.0.0,UNKNOWN,Yes
actix-http-2.2.0,LOW_SEVERITY,Yes
convec-2.0.1,CRITICAL,Yes
better-macro-1.0.4,CRITICAL,Yes
get-size-derive-0.1.3,LOW_SEVERITY,Yes
interfaces2-0.0.5,CRITICAL,Yes
buffered-reader-1.0.1,LOW_SEVERITY,Yes
minitrace-0.6.7,MEDIUM_SEVERITY,Yes
futures-task-0.3.5,LOW_SEVERITY,Yes
cassandra-0.8.1,MEDIUM_SEVERITY,Yes
tracing-0.1.39,SAFE,Yes
bra-0.1.0,HIGH_SEVERITY,Yes
pyo3-0.23.2,LOW_SEVERITY,Yes
multipart-0.18.0,LOW_SEVERITY,Yes
portaudio-0.8.0,MEDIUM_SEVERITY,Yes
comrak-0.10.0,LOW_SEVERITY,Yes
kuchiki-0.8.1,LOW_SEVERITY,Yes
tauri-1.0.6,UNKNOWN,Yes
try-mutex-0.2.0,HIGH_SEVERITY,Yes
safe_authenticator-0.18.1,UNKNOWN,Yes
fast-float2-0.2.1,LOW_SEVERITY,Yes
h2-0.3.25,LOW_SEVERITY,Yes
diesel-2.2.2,LOW_SEVERITY,Yes
pkcs11-0.5.0,MEDIUM_SEVERITY,Yes
partial_sort-0.1.2,LOW_SEVERITY,Yes
slock-0.1.2,CRITICAL,Yes
json-0.12.4,LOW_SEVERITY,Yes
difference-2.0.0,LOW_SEVERITY,Yes
capnp-0.15.1,LOW_SEVERITY,Yes
evm-core-0.26.0,LOW_SEVERITY,Yes
traitobject-0.1.1,SAFE,Yes
flatbuffers-2.1.2,LOW_SEVERITY,Yes
actix-service-1.0.5,LOW_SEVERITY,Yes
libp2p-tokio-socks5-0.8.0,HIGH_SEVERITY,Yes
cyfs-base-0.6.12,UNKNOWN,Yes
openpgp-card-sequoia-0.2.2,UNKNOWN,Yes
through-0.1.0,CRITICAL,Yes
rcu_cell-1.2.0,HIGH_SEVERITY,Yes
typemap-0.3.3,LOW_SEVERITY,Yes
daemonize-0.5.0,SAFE,Yes
simple_asn1-0.6.0,LOW_SEVERITY,Yes
parse_duration-2.1.1,LOW_SEVERITY,Yes
arrow-6.3.0,LOW_SEVERITY,Yes
neon-0.10.0,LOW_SEVERITY,Yes
lz4-compress-0.1.1,LOW_SEVERITY,Yes
sha2-0.9.7,LOW_SEVERITY,Yes
generic-array-0.8.3,LOW_SEVERITY,Yes
crust-0.32.1,UNKNOWN,Yes
av-data-0.2.2,MEDIUM_SEVERITY,Yes
protobuf-3.7.1,LOW_SEVERITY,Yes
va-ts-0.0.3,CRITICAL,Yes
block-cipher-0.99.99,SAFE,Yes
rustyscript-0.6.0,UNKNOWN,Yes
arrow2-0.7.0,LOW_SEVERITY,Yes
crayon-0.7.1,UNKNOWN,Yes
paste-1.0.15,SAFE,Yes
enum-map-2.0.1,LOW_SEVERITY,Yes
libflate-0.1.24,LOW_SEVERITY,Yes
futures-intrusive-0.3.1,LOW_SEVERITY,Yes
csv-sniffer-0.1.1,HIGH_SEVERITY,Yes
rust-i18n-support-3.0.0,LOW_SEVERITY,Yes
eventio-0.5.0,HIGH_SEVERITY,Yes
mimalloc-0.1.38,LOW_SEVERITY,Yes
loopdev-0.4.0,MEDIUM_SEVERITY,Yes
im-15.0.0,LOW_SEVERITY,Yes
toodee-0.2.4,HIGH_SEVERITY,Yes
nalgebra-0.27.0,LOW_SEVERITY,Yes
temporary-0.6.3,MEDIUM_SEVERITY,Yes
badge-0.3.0,LOW_SEVERITY,Yes
rust-crypto-0.2.36,LOW_SEVERITY,Yes
ffi_utils-0.17.0,MEDIUM_SEVERITY,Yes
aovec-1.1.0,HIGH_SEVERITY,Yes
olm-sys-1.3.2,MEDIUM_SEVERITY,Yes
binjs_io-0.2.1,CRITICAL,Yes
lexer-0.1.18,HIGH_SEVERITY,Yes
vm-memory-0.12.1,SAFE,Yes
crossbeam-0.6.0,LOW_SEVERITY,Yes
safe-api-0.15.1,UNKNOWN,Yes
