Crate Name,Severity Label,On lib.rs
miio-proto-0.1.5            |,CRITICAL,No
napi-h-2.16.1              |,LOW_SEVERITY,No
iapi-0.1.0               |,HIGH_SEVERITY,No
deary-0.0.1               |,CRITICAL,No
eoflint-0.2.0              |,CRITICAL,No
gweiyser-0.1.4             |,HIGH_SEVERITY,No
uptu_libs-0.1.0             |,SAFE,No
india-0.0.0               |,SAFE,No
cruiser-0.2.0              |,CRITICAL,No
diskinfo-0.1.0             |,SAFE,No
rarc-0.1.0               |,CRITICAL,No
plotly_kaleido-0.12.1          |,LOW_SEVERITY,No
geoiplocation-0.3.0           |,CRITICAL,No
arduino_mkrzero-0.12.2         |,MEDIUM_SEVERITY,No
drt-sc-modules-0.0.3          |,CRITICAL,No
crudkit-0.0.0              |,SAFE,No
xrpl_types-0.16.7            |,MEDIUM_SEVERITY,No
emu-cli-0.4.3              |,CRITICAL,No
iarapi-rs-0.1.1             |,HIGH_SEVERITY,No
moonramp-program-rpc-0.1.22       |,CRITICAL,No
bevis-strobe-0.1.1           |,HIGH_SEVERITY,No
area_func-0.1.1             |,CRITICAL,No
air-interpreter-wasm_fix-0.0.0     |,SAFE,No
flexi_logger-0.29.8           |,LOW_SEVERITY,No
cruiser_derive-0.2.0          |,HIGH_SEVERITY,No
ib-3.0.0                |,HIGH_SEVERITY,No
uptrace-0.19.0             |,CRITICAL,No
air-interpreter-wasm_logger-i32-0.0.5  |,SAFE,No
nanohtml2text-0.2.1           |,MEDIUM_SEVERITY,No
neo-mime-macro-0.1.1          |,MEDIUM_SEVERITY,No
rust_cargo_test-0.1.1          |,SAFE,No
uci_rs-0.1.2              |,CRITICAL,No
rarena-allocator-0.6.0         |,MEDIUM_SEVERITY,No
mijia-0.7.1               |,HIGH_SEVERITY,No
solana-test-0.1.0            |,CRITICAL,No
aws-sdk-bcmpricingcalculator-1.15.0   |,LOW_SEVERITY,No
pkg-version-parser-0.1.1        |,CRITICAL,No
flexiber_derive-0.1.3          |,MEDIUM_SEVERITY,No
bevy_lightyear-0.1.0          |,LOW_SEVERITY,No
migrations_macros-2.2.0         |,LOW_SEVERITY,No
flexible-locks_derive-0.1.0       |,LOW_SEVERITY,No
uption-0.6.6              |,HIGH_SEVERITY,No
flexflow-server-0.1.1          |,SAFE,No
wayrs-egl-0.5.0             |,CRITICAL,No
lmdb-sys-0.8.0             |,MEDIUM_SEVERITY,No
bellhop-cli-0.2.1            |,CRITICAL,No
sc-tracing-proc-macro-11.0.0      |,SAFE,No
disarray-core-0.1.20          |,HIGH_SEVERITY,No
photonic-interface-restore-0.1.0    |,HIGH_SEVERITY,No
rust_clear-0.1.0            |,HIGH_SEVERITY,No
crate-settings-0.0.7          |,HIGH_SEVERITY,No
geoip2-city-0.1.0            |,SAFE,No
rascal-0.1.2              |,MEDIUM_SEVERITY,No
damians_custom_datetime_parser-0.2.5  |,CRITICAL,No
flexi_func-0.2.7            |,MEDIUM_SEVERITY,No
neo4rs-macros-0.3.0           |,MEDIUM_SEVERITY,No
dalfs-0.1.0               |,CRITICAL,No
crudcrate-0.2.4             |,HIGH_SEVERITY,No
planc-frontend-0.0.0          |,SAFE,No
plotlars-0.8.1             |,HIGH_SEVERITY,No
eon-rs-1.0.0              |,HIGH_SEVERITY,No
bellande_step-0.1.0           |,CRITICAL,No
arduinors-0.1.1             |,CRITICAL,No
agave-notifier-0.1.0          |,SAFE,No
sc-state-db-0.37.0           |,LOW_SEVERITY,No
aws-sdk-auditmanager-1.63.0       |,LOW_SEVERITY,No
gwyh-0.1.0               |,CRITICAL,No
photonic-interface-mqtt-0.1.0      |,CRITICAL,No
yew-ui-0.1.0              |,HIGH_SEVERITY,No
crate-publish-test-0.1.1        |,SAFE,No
disarray-runtime-0.1.20         |,CRITICAL,No
dice-me-0.1.1              |,HIGH_SEVERITY,No
xs-0.0.0                |,SAFE,No
mih-rs-0.3.1              |,LOW_SEVERITY,No
miho-7.0.0               |,MEDIUM_SEVERITY,No
flexiber-0.1.3             |,MEDIUM_SEVERITY,No
daml-0.2.2               |,SAFE,No
dango-tui-0.0.0             |,SAFE,No
rust_ci-0.1.0              |,HIGH_SEVERITY,No
piccolo-util-0.3.3           |,LOW_SEVERITY,No
ucd-trie-0.1.7             |,LOW_SEVERITY,No
nu_plugin_x509-0.1.1          |,HIGH_SEVERITY,No
sc-sync-state-rpc-0.48.0        |,LOW_SEVERITY,No
deathrip-0.2.1             |,HIGH_SEVERITY,No
emstr-0.2.0               |,SAFE,No
air-interpreter-wasm_security_tetraplets_reborn-0.0.18|,SAFE,No
indexvec-0.5.4             |,SAFE,No
rust_calendar_parser-0.1.1       |,CRITICAL,No
yew-tincture-0.2.2           |,MEDIUM_SEVERITY,No
geohash-rs-0.1.3            |,SAFE,No
photonic-interface-grpc-client-0.1.0  |,CRITICAL,No
solana-include-idl-0.1.0        |,CRITICAL,No
eopsin-0.0.0              |,SAFE,No
crumble_ci-0.1.0            |,CRITICAL,No
mdbook-transcheck-0.2.8         |,HIGH_SEVERITY,No
pic32-hal-0.13.0            |,MEDIUM_SEVERITY,No
between-us-1.0.0            |,SAFE,No
indextreemap-0.1.25           |,MEDIUM_SEVERITY,No
agave-perf-0.1.0            |,SAFE,No
mijia-homie-0.2.7            |,HIGH_SEVERITY,No
indexmap-nostd-0.4.0          |,SAFE,No
disc-derive-0.1.0            |,HIGH_SEVERITY,No
xrust-1.2.4               |,HIGH_SEVERITY,No
selfe-sys-0.1.1             |,CRITICAL,No
agave-metrics-0.1.0           |,SAFE,No
danielfns-0.1.0             |,SAFE,No
agave-logger-0.1.0           |,SAFE,No
lms-signature-0.0.1           |,HIGH_SEVERITY,No
nuban-1.1.0               |,HIGH_SEVERITY,No
ucg-0.7.2                |,HIGH_SEVERITY,No
gxccd-0.1.1               |,CRITICAL,No
ucelofka-0.3.0             |,CRITICAL,No
sc-simnode-16.0.0            |,CRITICAL,No
aws-sdk-arczonalshift-1.63.0      |,LOW_SEVERITY,No
flexgrid-0.1.1             |,SAFE,No
rarg-0.1.0               |,CRITICAL,No
waynest-gen-0.0.25           |,HIGH_SEVERITY,No
moonramp-gateway-0.1.22         |,CRITICAL,No
yew-template-0.10.0           |,MEDIUM_SEVERITY,No
planck_game_features-0.1.0       |,HIGH_SEVERITY,No
disasm-0.5.1              |,HIGH_SEVERITY,No
between-0.1.0              |,LOW_SEVERITY,No
yew-websocket-1.21.0          |,MEDIUM_SEVERITY,No
ole-0.1.15               |,HIGH_SEVERITY,No
moonramp-wallet-rpc-0.1.22       |,CRITICAL,No
yew-utils-0.3.0             |,CRITICAL,No
rare-0.1.0               |,SAFE,No
uptime-0.0.1              |,CRITICAL,No
agave-memory-management-0.1.0      |,SAFE,No
xrunits-0.1.2              |,SAFE,No
olimex-stm32-p107-0.1.0         |,HIGH_SEVERITY,No
yew-vdom-gen-0.1.0           |,HIGH_SEVERITY,No
iroh-base-0.34.0            |,LOW_SEVERITY,No
aws-sdk-bedrockruntime-1.77.0      |,LOW_SEVERITY,No
rscx-mdx-0.1.7             |,HIGH_SEVERITY,No
rscx-0.1.14               |,MEDIUM_SEVERITY,No
gwasmi_core-0.12.0           |,LOW_SEVERITY,No
planc-protocol-0.0.0          |,SAFE,No
xrpl_sdk_ws-0.12.0           |,CRITICAL,No
rust_cards-0.1.2            |,CRITICAL,No
disc-0.1.0               |,HIGH_SEVERITY,No
arduino_nano33iot-0.7.2         |,MEDIUM_SEVERITY,No
drt-sc-codec-derive-0.0.3        |,LOW_SEVERITY,No
pkg6dev-0.1.1              |,CRITICAL,No
neo-0.3.3                |,HIGH_SEVERITY,No
dicebear-0.1.3             |,CRITICAL,No
indexrs-0.5.0              |,HIGH_SEVERITY,No
crate2bib-0.3.2             |,CRITICAL,No
indextree-macros-0.1.2         |,LOW_SEVERITY,No
verust-0.2.4              |,CRITICAL,No
plaintext-0.27.1            |,HIGH_SEVERITY,No
nub-0.0.0                |,SAFE,No
rscs-0.0.0               |,SAFE,No
drteeth-0.2.1              |,CRITICAL,No
pkg-types-0.1.0             |,CRITICAL,No
bevy_leat-0.0.0             |,SAFE,No
dicebag-0.2.1              |,CRITICAL,No
diskscan-0.3.0             |,CRITICAL,No
sc2-proc-macro-1.0.0          |,MEDIUM_SEVERITY,No
nube-0.0.1               |,CRITICAL,No
mikasa-utils-0.1.0           |,CRITICAL,No
iay-0.4.3                |,HIGH_SEVERITY,No
ras-0.1.0                |,SAFE,No
drt-sc-0.0.3              |,CRITICAL,No
daniels_basic_math-0.1.1        |,SAFE,No
sc-tracing-38.0.0            |,LOW_SEVERITY,No
aws-sdk-backupgateway-1.62.0      |,LOW_SEVERITY,No
waynest-macros-0.0.25          |,LOW_SEVERITY,No
oliframe-0.3.0             |,HIGH_SEVERITY,No
yew-virtual-scroller-0.1.0       |,CRITICAL,No
mikan-rs-0.1.4             |,CRITICAL,No
rascal_bytecode-0.1.2          |,SAFE,No
nap-0.0.5                |,CRITICAL,No
emu-audio-0.1.2             |,HIGH_SEVERITY,No
nanom-derive-0.1.2           |,MEDIUM_SEVERITY,No
moonramp-rpc-0.1.22           |,LOW_SEVERITY,No
diazene-1.4.1              |,HIGH_SEVERITY,No
lmgpt-0.1.5               |,CRITICAL,No
dante-control-rs-0.8.2         |,HIGH_SEVERITY,No
pic32-config-sector-0.3.0        |,SAFE,No
iroh-blake3-1.4.5            |,LOW_SEVERITY,No
eodhd_rs-0.2.0             |,HIGH_SEVERITY,No
indicatif-0.17.11            |,LOW_SEVERITY,No
death-0.1.0               |,SAFE,No
neo4j_cypher-0.2.2           |,SAFE,No
rust_cn-0.1.6              |,CRITICAL,No
eol-0.1.1                |,HIGH_SEVERITY,No
crumbles-0.3.0             |,HIGH_SEVERITY,No
indi-5.0.1               |,CRITICAL,No
indextree-ng-1.0.5           |,SAFE,No
agave-loader-v4-program-0.1.0      |,SAFE,No
eorst-0.2.0               |,CRITICAL,No
aws-sdk-bedrockagent-1.86.0       |,LOW_SEVERITY,No
diskmap-0.2.0              |,CRITICAL,No
air-interpreter-wasm_prerelease-0.0.1  |,SAFE,No
sc-transaction-pool-api-38.1.0     |,SAFE,No
rscx-web-macros-0.3.0          |,LOW_SEVERITY,No
air-interpreter-wasm_jvalue_flatten-0.0.5|,SAFE,No
drt-sc-snippets-0.0.3          |,CRITICAL,No
emscripten_main_loop-0.1.1       |,SAFE,No
plotfx-0.1.0              |,SAFE,No
dear-0.1.1               |,CRITICAL,No
planc-common-0.0.0           |,SAFE,No
yew-struct-component-0.1.4       |,HIGH_SEVERITY,No
bellman-keccak256-0.1.0         |,CRITICAL,No
pkgar-core-0.1.15            |,MEDIUM_SEVERITY,No
danube-client-0.3.4           |,CRITICAL,No
theforce-0.1.0             |,CRITICAL,No
napi-ohos-1.0.4             |,MEDIUM_SEVERITY,No
mika-0.0.0               |,CRITICAL,No
self-rust-tokenize-derive-0.4.1     |,MEDIUM_SEVERITY,No
rscpi-0.1.0               |,HIGH_SEVERITY,No
lms_lib-0.4.0              |,CRITICAL,No
disasm-x86-0.5.1            |,HIGH_SEVERITY,No
agave-merkle-tree-0.1.0         |,SAFE,No
rust_clue_solver_2-0.1.2        |,SAFE,No
rscope-0.0.1              |,SAFE,No
geoip-http-0.3.0            |,CRITICAL,No
indexnow-0.0.0             |,HIGH_SEVERITY,No
plotrs-0.1.3              |,CRITICAL,No
bevy_lighting-0.0.1           |,SAFE,No
emscripten-val-sys-0.1.7        |,CRITICAL,No
xrt-0.3.0                |,CRITICAL,No
areion-0.1.0              |,SAFE,No
rsdbc-core-0.0.1            |,HIGH_SEVERITY,No
oli-0.41.17               |,LOW_SEVERITY,No
diskplan-schema-0.1.0          |,CRITICAL,No
yew-style-0.1.4             |,HIGH_SEVERITY,No
disktest-lib-1.2.0           |,CRITICAL,No
diskplan-traversal-0.1.0        |,CRITICAL,No
plotchart-0.2.12            |,CRITICAL,No
bevy_light_2d-0.5.0           |,HIGH_SEVERITY,No
drt-sc-scenario-0.0.3          |,CRITICAL,No
waypwr-0.1.1              |,CRITICAL,No
pic32mx2xx-0.7.0            |,MEDIUM_SEVERITY,No
lminc-2.0.1               |,CRITICAL,No
geohashing-0.1.0            |,MEDIUM_SEVERITY,No
danube-core-0.3.4            |,CRITICAL,No
lmk-0.2.0                |,CRITICAL,No
bellissimo_auth0-0.0.4         |,HIGH_SEVERITY,No
bellande_rust_import-0.0.1       |,CRITICAL,No
aws-sdk-backup-1.66.0          |,LOW_SEVERITY,No
yew-style-in-rs-core-0.4.1       |,SAFE,No
yew-style-in-rs-macro-0.4.1       |,HIGH_SEVERITY,No
nucgen-0.1.2              |,CRITICAL,No
crate-publish-test-foo-0.1.0      |,SAFE,No
mii-0.1.1                |,SAFE,No
drt-sc-meta-0.0.3            |,CRITICAL,No
eos-tz-0.0.0              |,SAFE,No
oled-0.0.0               |,HIGH_SEVERITY,No
very_basic_crate-0.2.0         |,SAFE,No
bevy_library-0.0.1           |,SAFE,No
air-interpreter-interface-0.19.0    |,MEDIUM_SEVERITY,No
thefunland-0.1.0            |,SAFE,No
plain_trie-7.2.4            |,HIGH_SEVERITY,No
naom-1.4.0               |,CRITICAL,No
iroh-bytes-0.15.0            |,LOW_SEVERITY,No
verusfmt-0.5.3             |,MEDIUM_SEVERITY,No
lmql-0.3.0               |,CRITICAL,No
air-interpreter-cid-0.9.0        |,HIGH_SEVERITY,No
pkgar-0.1.15              |,MEDIUM_SEVERITY,No
irmatch-0.2.0              |,SAFE,No
damaya-0.1.0              |,SAFE,No
bevy-alt-ui-navigation-lite-0.3.1    |,HIGH_SEVERITY,No
planck_ecs-1.2.1            |,HIGH_SEVERITY,No
aws-sdk-bedrockdataautomationruntime-1.13.0|,LOW_SEVERITY,No
solana-tls-utils-2.2.3         |,LOW_SEVERITY,No
emu-runner-0.1.1            |,CRITICAL,No
nanoid-wasm-0.1.3            |,SAFE,No
bevy_ldtk_asset-0.6.4          |,HIGH_SEVERITY,No
flexible-locks-0.1.0          |,CRITICAL,No
aws-sdk-artifact-1.52.0         |,LOW_SEVERITY,No
migrator-0.1.0             |,CRITICAL,No
bevy_lightspeed2d-0.1.0         |,SAFE,No
bellemere-0.1.0             |,CRITICAL,No
neo-sync-0.0.8             |,CRITICAL,No
photonic-dynamic-0.1.0         |,HIGH_SEVERITY,No
bevior_tree-0.7.0            |,CRITICAL,No
disasm_x64-0.1.1            |,CRITICAL,No
piccolo-0.3.3              |,LOW_SEVERITY,No
lmml-parser-0.6.0            |,HIGH_SEVERITY,No
mdbook-to-github-wiki-0.1.2       |,HIGH_SEVERITY,No
air-interpreter-wasm_fold_iterable-0.0.9|,SAFE,No
nanopub-0.1.4              |,MEDIUM_SEVERITY,No
nuclei-attributes-0.1.0         |,LOW_SEVERITY,No
moonramp-sale-0.1.22          |,CRITICAL,No
sc-statement-store-20.0.0        |,LOW_SEVERITY,No
gwasm-dispatcher-0.1.0         |,CRITICAL,No
aws-sdk-backupstorage-1.30.0      |,LOW_SEVERITY,No
rust_closure-0.1.0           |,SAFE,No
theban_db_interface-0.2.0        |,CRITICAL,No
rart-macros-0.0.6            |,LOW_SEVERITY,No
plotpy-1.13.0              |,HIGH_SEVERITY,No
mikado-0.1.0              |,SAFE,No
iat-0.1.2                |,LOW_SEVERITY,No
geoip-api-0.7.1             |,CRITICAL,No
air-interpreter-wasm_ci_fix_version_increment-0.0.1|,SAFE,No
theban_db_server-0.3.6         |,CRITICAL,No
mdbook-tex-0.0.0            |,SAFE,No
solana-instructions-sysvar-2.2.1    |,LOW_SEVERITY,No
bevier-1.1.1              |,HIGH_SEVERITY,No
rscx-macros-0.1.14           |,MEDIUM_SEVERITY,No
plotcap-0.1.3              |,HIGH_SEVERITY,No
uptimer-0.2.1              |,CRITICAL,No
area_function-0.1.0           |,CRITICAL,No
solana-test-client-0.1.0        |,CRITICAL,No
crudx-1.1.0               |,HIGH_SEVERITY,No
nanoleaf-0.1.1             |,HIGH_SEVERITY,No
pica-0.1.7               |,HIGH_SEVERITY,No
dalia-1.2.0               |,CRITICAL,No
yew-style-in-rs-0.4.1          |,HIGH_SEVERITY,No
upstream-module-0.2.0          |,HIGH_SEVERITY,No
aws-sdk-athena-1.66.0          |,LOW_SEVERITY,No
mdbook-to-example-0.1.0         |,CRITICAL,No
waynova-0.0.1              |,SAFE,No
crate-test-bolt-0.1.0          |,SAFE,No
plan9-0.1.1               |,CRITICAL,No
lmml-cli-0.6.0             |,HIGH_SEVERITY,No
disks-0.1.0               |,SAFE,No
dicegen-0.1.0              |,CRITICAL,No
agave-measure-0.1.0           |,SAFE,No
dicedb-rs-0.1.2             |,CRITICAL,No
verver-0.0.1              |,CRITICAL,No
ucd-generate-0.3.1           |,HIGH_SEVERITY,No
xs-api-0.1.0              |,SAFE,No
self_cell-1.1.0             |,LOW_SEVERITY,No
picahq-0.1.1              |,HIGH_SEVERITY,No
xrtsp-0.3.0               |,LOW_SEVERITY,No
xrs-0.0.1                |,MEDIUM_SEVERITY,No
aws-sdk-bedrockagentruntime-1.85.0   |,LOW_SEVERITY,No
dalek-ff-group-mirror-0.4.1       |,HIGH_SEVERITY,No
iasc-0.1.0               |,LOW_SEVERITY,No
emscripten-sys-0.3.2          |,HIGH_SEVERITY,No
nu_plugin_ws-0.3.0           |,HIGH_SEVERITY,No
ucd-raw-0.5.0              |,SAFE,No
cruet-0.15.0              |,LOW_SEVERITY,No
very_primitive_tables-0.1.3       |,SAFE,No
dice-bag-0.2.0             |,HIGH_SEVERITY,No
theban_db-0.7.0             |,HIGH_SEVERITY,No
photondb-0.0.4             |,HIGH_SEVERITY,No
rscontainer-0.1.0            |,CRITICAL,No
rust_cfg_parser-0.1.0          |,SAFE,No
pic32mx470-0.1.0            |,CRITICAL,No
deallocate-zeroed-0.2.0         |,CRITICAL,No
rsdb-0.12.1               |,HIGH_SEVERITY,No
pkg-macros-3.0.0            |,HIGH_SEVERITY,No
deb-0.5.18               |,MEDIUM_SEVERITY,No
gwordle-0.1.2              |,MEDIUM_SEVERITY,No
mik32v2-pac-0.0.1            |,HIGH_SEVERITY,No
photonic-audio-0.1.0          |,CRITICAL,No
arel-macros-0.3.8            |,MEDIUM_SEVERITY,No
crufst-0.1.0              |,SAFE,No
uptime_kuma_pusher-0.3.0        |,CRITICAL,No
deb-version-0.1.1            |,SAFE,No
iars-0.1.0               |,CRITICAL,No
aws-sdk-batch-1.72.0          |,LOW_SEVERITY,No
lmntal-language-server-0.1.1      |,HIGH_SEVERITY,No
gx21m15-0.1.1              |,HIGH_SEVERITY,No
lmntalc-0.12.0             |,MEDIUM_SEVERITY,No
moonramp-sale-rpc-0.1.22        |,CRITICAL,No
bevy_level-0.0.1            |,SAFE,No
yew-struct-component-macro-0.1.4    |,LOW_SEVERITY,No
flexi_logger_rotate_writer-0.0.0    |,CRITICAL,No
olinker-0.1.0              |,SAFE,No
eos-eapi-0.2.0             |,CRITICAL,No
very-bad-error-propagation-0.1.1    |,SAFE,No
naphtha-proc-macro-0.5.0        |,LOW_SEVERITY,No
emu-core-audio-driver-0.1.3       |,HIGH_SEVERITY,No
agave-netutil-0.1.0           |,SAFE,No
crude_cache-0.1.1            |,CRITICAL,No
geojson-0.24.2             |,LOW_SEVERITY,No
lml-0.1.0                |,SAFE,No
danmu2ass-0.2.1             |,HIGH_SEVERITY,No
dice-0.1.0               |,SAFE,No
flexgen-0.4.5              |,HIGH_SEVERITY,No
arena-alloc-0.1.2            |,CRITICAL,No
areaportal2d-0.1.1           |,CRITICAL,No
very_simple_trie-0.1.3         |,SAFE,No
bevy_la_mesa-0.15.4           |,HIGH_SEVERITY,No
bevy_ldtk-0.5.0             |,HIGH_SEVERITY,No
ole32-sys-0.2.0             |,LOW_SEVERITY,No
gxci-0.3.7               |,HIGH_SEVERITY,No
drt-sc-derive-0.0.3           |,HIGH_SEVERITY,No
crumble-0.10.2             |,CRITICAL,No
picard-0.0.1              |,HIGH_SEVERITY,No
solana-timings-2.2.3          |,LOW_SEVERITY,No
ploteria-0.1.0             |,MEDIUM_SEVERITY,No
plotapi-0.1.1              |,CRITICAL,No
very_simple_2d_core-0.6.0        |,HIGH_SEVERITY,No
gwv-0.3.2                |,CRITICAL,No
xs-lib-0.4.0              |,CRITICAL,No
nanomsg-sys-0.7.2            |,MEDIUM_SEVERITY,No
solana-invoke-0.2.0           |,CRITICAL,No
iroh-api-0.2.0             |,LOW_SEVERITY,No
diskqueue-0.1.0             |,CRITICAL,No
drt-sc-meta-lib-0.0.3          |,CRITICAL,No
disasm-core-0.5.1            |,SAFE,No
xrpl_binary_codec-0.16.7        |,MEDIUM_SEVERITY,No
neo-mime-parse-0.1.0          |,SAFE,No
plan9whack-0.1.0            |,SAFE,No
arel-0.3.8               |,HIGH_SEVERITY,No
napa-0.6.2               |,HIGH_SEVERITY,No
neo_trinkey-0.2.1            |,MEDIUM_SEVERITY,No
uptime_lib-0.3.1            |,MEDIUM_SEVERITY,No
rsdbc-0.0.1               |,CRITICAL,No
indexmap-rmw-1.6.3           |,CRITICAL,No
theattyr-0.1.10             |,HIGH_SEVERITY,No
uchu-0.1.0               |,LOW_SEVERITY,No
disktest-1.16.0             |,HIGH_SEVERITY,No
upto-0.1.5               |,CRITICAL,No
napi-derive-ohos-1.0.4         |,MEDIUM_SEVERITY,No
iata_bcbp-1.0.0             |,CRITICAL,No
damascus-0.0.9             |,CRITICAL,No
diskotech-0.0.5             |,CRITICAL,No
ras_auth-0.1.0             |,CRITICAL,No
moonramp-encryption-0.1.22       |,MEDIUM_SEVERITY,No
nanoid_cli-1.0.0            |,CRITICAL,No
lmdb-sys2-0.11.2            |,CRITICAL,No
plainjson-0.1.2             |,HIGH_SEVERITY,No
xrpl_sdk_jsonrpc-0.12.0         |,HIGH_SEVERITY,No
geoip2-0.1.7              |,MEDIUM_SEVERITY,No
danu-0.0.0               |,SAFE,No
agave-lualoader-0.1.0          |,SAFE,No
sc-service-test-0.0.0          |,SAFE,No
emu_glsl-0.1.0             |,LOW_SEVERITY,No
dango-0.1.1               |,CRITICAL,No
nucleide-0.1.0             |,HIGH_SEVERITY,No
deb-architectures-0.1.0         |,HIGH_SEVERITY,No
plot_interface-0.1.3          |,MEDIUM_SEVERITY,No
iasthk-1.0.1              |,MEDIUM_SEVERITY,No
bevis-derive-0.1.0           |,LOW_SEVERITY,No
pic8259_simple-0.2.0          |,MEDIUM_SEVERITY,No
agave-local-cluster-0.1.0        |,SAFE,No
thegraph-0.0.0             |,SAFE,No
moonramp-migration-0.1.22        |,CRITICAL,No
wayout-1.1.3              |,CRITICAL,No
ucd-parse-0.1.13            |,LOW_SEVERITY,No
dali-0.3.0               |,HIGH_SEVERITY,No
iascar-0.2.1              |,CRITICAL,No
gwd-backend-firefox-0.1.5        |,HIGH_SEVERITY,No
dano-0.9.1               |,HIGH_SEVERITY,No
dam-0.1.3                |,CRITICAL,No
uptown_funk_macro-0.1.2         |,LOW_SEVERITY,No
area_crate-0.1.1            |,SAFE,No
drs-0x01-0.3.0             |,LOW_SEVERITY,No
iastconvert-0.1.2            |,CRITICAL,No
napi-build-ohos-1.0.4          |,HIGH_SEVERITY,No
eoe-0.2.0                |,MEDIUM_SEVERITY,No
dibi-0.1.2               |,CRITICAL,No
aws-sdk-backupsearch-1.11.0       |,LOW_SEVERITY,No
moonramp-wallet-0.1.22         |,HIGH_SEVERITY,No
moonramp-registry-0.1.22        |,LOW_SEVERITY,No
nanom-0.1.6               |,CRITICAL,No
crate-pro-0.1.0             |,SAFE,No
pkg-version-impl-0.1.1         |,MEDIUM_SEVERITY,No
rasc-0.1.0               |,SAFE,No
nanopow-rs-0.3.3            |,CRITICAL,No
agave-librapay-api-0.1.0        |,SAFE,No
geoip-0.0.14              |,HIGH_SEVERITY,No
ucfirst-0.3.0              |,SAFE,No
iata-types-0.1.4            |,MEDIUM_SEVERITY,No
yew-table-0.1.2             |,HIGH_SEVERITY,No
oled_shmoled-0.2.1           |,HIGH_SEVERITY,No
crate-root-0.1.3            |,CRITICAL,No
sc16is752-0.1.1             |,LOW_SEVERITY,No
ras_service-0.2.0            |,CRITICAL,No
diatomic-waker-0.2.3          |,LOW_SEVERITY,No
photonic-effects-0.1.0         |,CRITICAL,No
rsd-0.1.0                |,CRITICAL,No
plain_path-0.1.0            |,HIGH_SEVERITY,No
dantalian-0.4.6             |,MEDIUM_SEVERITY,No
dean_minigrep-0.1.1           |,CRITICAL,No
lms-0.4.0                |,HIGH_SEVERITY,No
crumb-0.2.1               |,SAFE,No
rscrypt-0.2.1              |,MEDIUM_SEVERITY,No
nanoimage-0.1.3             |,SAFE,No
crudite-0.1.0              |,CRITICAL,No
diskplan-config-0.1.0          |,CRITICAL,No
dearbitrary-1.0.4            |,MEDIUM_SEVERITY,No
