crate_name,rustsec_label,advisory_type
kvm-ioctls,INFO,INFOUnsound
get-size-derive,INFO,INFOUnmaintained
libafl,INFO,INFOUnsound
atk-sys,INFO,INFOUnmaintained
gtk-sys,INFO,INFOUnmaintained
gdkx11,INFO,INFOUnmaintained
gdkwayland,INFO,INFOUnmaintained
gtk3-macros,INFO,INFOUnmaintained
gtk-layer-shell-sys,INFO,INFOUnmaintained
gtk,INFO,INFOUnmaintained
gtk-layer-shell,INFO,INFOUnmaintained
gdk,INFO,INFOUnmaintained
gdk-sys,INFO,INFOUnmaintained
gdkwayland-sys,INFO,INFOUnmaintained
gdkx11-sys,INFO,INFOUnmaintained
atk,INFO,INFOUnmaintained
pprof,INFO,INFOUnsound
serial,INFO,INFOUnmaintained
linkme,INFO,INFOUnsound
multi_mut,INFO,INFOUnsound
anstream,INFO,INFOUnsound
pqcrypto-dilithium,INFO,INFOUnmaintained
derivative,INFO,INFOUnmaintained
chrono-english,INFO,INFOUnmaintained
strason,INFO,INFOUnmaintained
minitrace,INFO,INFOUnmaintained
hwloc,INFO,INFOUnmaintained
cw0,INFO,INFOUnmaintained
openslide,INFO,INFOUnmaintained
pqcrypto-kyber,INFO,INFOUnmaintained
conrod_core,INFO,INFOUnmaintained
opentelemetry_api,INFO,INFOUnmaintained
instant,INFO,INFOUnmaintained
mmap,INFO,INFOUnmaintained
loopdev,INFO,INFOUnmaintained
bcc,INFO,INFOUnmaintained
mimalloc,INFO,INFOUnsound
simd-json-derive,INFO,INFOUnsound
conrod,INFO,INFOUnmaintained
fast-float,INFO,INFOUnsound
atty,INFO,INFOUnmaintained
lexical-core,INFO,INFOUnsound
proc-macro-error,INFO,INFOUnmaintained
xmp_toolkit,INFO,INFOUnsound
gix-attributes,INFO,INFOUnsound
zip_next,INFO,INFOUnmaintained
libp2p-tokio-socks5,INFO,INFOUnmaintained
rsa-export,INFO,INFOUnmaintained
puccinier,INFO,INFOUnmaintained
yaml-rust,INFO,INFOUnmaintained
hpack,INFO,INFOUnmaintained
cassandra-cpp,INFO,INFOUnsound
safemem,INFO,INFOUnmaintained
filesystem,INFO,INFOUnmaintained
generational-arena,INFO,INFOUnmaintained
rust-i18n-support,INFO,INFOUnsound
threadalone,INFO,INFOUnsound
cosmwasm,INFO,INFOUnmaintained
tracing,INFO,INFOUnsound
ferris-says,INFO,INFOUnsound
cpython,INFO,INFOUnmaintained
unsafe-libyaml,INFO,INFOUnsound
openssl,INFO,INFOUnsound
fehler,INFO,INFOUnmaintained
users,INFO,INFOUnsound
inventory,INFO,INFOUnsound
inventory,INFO,INFOUnsound
lexical,INFO,INFOUnsound
dlopen_derive,INFO,INFOUnmaintained
multipart,INFO,INFOUnmaintained
tui,INFO,INFOUnmaintained
intaglio,INFO,INFOUnsound
lmdb-rs,INFO,INFOUnsound
cyfs-base,INFO,INFOUnsound
memoffset,INFO,INFOUnsound
ftp,INFO,INFOUnmaintained
ouroboros,INFO,INFOUnsound
users,INFO,INFOUnmaintained
xsalsa20poly1305,INFO,INFOUnmaintained
tree_magic,INFO,INFOUnmaintained
enumflags2,INFO,INFOUnsound
borsh,INFO,INFOUnsound
ntru,INFO,INFOUnsound
spin,INFO,INFOUnsound
git-hash,INFO,INFOUnmaintained
buf_redux,INFO,INFOUnmaintained
git-path,INFO,INFOUnmaintained
rmp-serde,INFO,INFOUnsound
const-cstr,INFO,INFOUnsound
out-reference,INFO,INFOUnsound
mach,INFO,INFOUnmaintained
nphysics3d,INFO,INFOUnmaintained
ncollide3d,INFO,INFOUnmaintained
nphysics2d,INFO,INFOUnmaintained
