Crate Name,Severity Label
tar-0.4.35,LOW_SEVERITY
gdkwayland-0.18.2,HIGH_SEVERITY
rsa-0.9.8,LOW_SEVERITY
cpython-0.7.2,LOW_SEVERITY
libwebp-sys-0.9.2,MEDIUM_SEVERITY
anstream-0.6.7,LOW_SEVERITY
rusoto_credential-0.48.0,LOW_SEVERITY
elf_rs-0.2.0,MEDIUM_SEVERITY
nanorand-0.6.0,LOW_SEVERITY
idna-0.5.0,SAFE
reorder-1.0.3,HIGH_SEVERITY
zerovec-0.10.3,LOW_SEVERITY
signal-simple-0.1.1,CRITICAL
derivative-2.2.0,LOW_SEVERITY
trillium-http-0.3.11,MEDIUM_SEVERITY
matrix-sdk-0.6.1,UNKNOWN
internment-0.4.1,LOW_SEVERITY
columnar-0.0.19,SAFE
tokio-1.24.1,LOW_SEVERITY
grep-cli-0.1.5,LOW_SEVERITY
atty-0.2.14,SAFE
xmp_toolkit-1.8.1,MEDIUM_SEVERITY
opentelemetry_api-0.20.0,LOW_SEVERITY
rustc-serialize-0.3.25,LOW_SEVERITY
flumedb-0.1.5,CRITICAL
sharks-0.5.0,MEDIUM_SEVERITY
rocket-0.4.6,UNKNOWN
transpose-0.2.2,SAFE
curve25519-dalek-4.1.2,SAFE
tower-http-0.2.0,LOW_SEVERITY
id-map-0.2.2,MEDIUM_SEVERITY
v9-0.1.42,HIGH_SEVERITY
dashmap-5.0.0,LOW_SEVERITY
gix-transport-0.41.3,LOW_SEVERITY
cranelift-codegen-0.73.0,LOW_SEVERITY
net2-0.2.35,LOW_SEVERITY
borsh-0.11.0,LOW_SEVERITY
openslide-0.2.0,CRITICAL
kvm-ioctls-0.19.0,LOW_SEVERITY
sass-rs-0.2.2,MEDIUM_SEVERITY
stdweb-0.4.20,LOW_SEVERITY
safe-nd-0.11.7,UNKNOWN
cosmwasm-0.7.2,LOW_SEVERITY
orbtk-0.3.0,UNKNOWN
endian_trait-0.6.0,HIGH_SEVERITY
tokio-rustls-0.13.0,UNKNOWN
tonic-0.12.2,LOW_SEVERITY
hashbrown-0.15.0,SAFE
atk-0.18.2,LOW_SEVERITY
cpuid-bool-0.99.99,SAFE
tungstenite-0.20.0,LOW_SEVERITY
static_type_map-0.5.2,SAFE
obstack-0.1.3,CRITICAL
parc-1.0.1,CRITICAL
aesni-0.99.99,SAFE
multi_mut-0.1.3,HIGH_SEVERITY
safe_app-0.18.1,UNKNOWN
blake2-0.8.0,LOW_SEVERITY
windows-0.31.0,UNKNOWN
const-cstr-0.3.0,LOW_SEVERITY
lever-0.1.0,MEDIUM_SEVERITY
gtk3-macros-0.18.2,LOW_SEVERITY
sequoia-openpgp-1.20.0,UNKNOWN
term_size-0.3.2,LOW_SEVERITY
chrono-english-0.1.8,MEDIUM_SEVERITY
libdav1d-sys-0.6.0,MEDIUM_SEVERITY
stb_image-0.2.4,MEDIUM_SEVERITY
pnet_packet-0.27.1,LOW_SEVERITY
sudo-rs-0.2.0,LOW_SEVERITY
boxfnonce-0.1.1,SAFE
async-coap-0.1.0,CRITICAL
arenavec-0.1.1,CRITICAL
ms3d-0.1.2,HIGH_SEVERITY
evm-0.35.0,LOW_SEVERITY
block-cipher-trait-0.99.0,SAFE
uu_od-0.0.3,LOW_SEVERITY
simd-json-0.1.14,LOW_SEVERITY
grcov-0.8.19,LOW_SEVERITY
bat-0.18.1,LOW_SEVERITY
openh264-sys2-0.7.1,MEDIUM_SEVERITY
bunch-0.1.0,CRITICAL
chttp-0.1.2,LOW_SEVERITY
mozjpeg-0.8.17,MEDIUM_SEVERITY
threadalone-0.2.0,CRITICAL
lock_api-0.4.1,LOW_SEVERITY
rdiff-0.1.2,CRITICAL
mapr-0.8.0,MEDIUM_SEVERITY
gdkx11-0.18.2,MEDIUM_SEVERITY
scottqueue-0.1.0,CRITICAL
untrusted-0.6.1,SAFE
maligned-0.2.1,MEDIUM_SEVERITY
rulex-0.4.2,LOW_SEVERITY
parity-util-mem-0.12.0,LOW_SEVERITY
cargo-download-0.1.2,UNKNOWN
conrod_core-0.76.1,LOW_SEVERITY
cdr-0.2.3,LOW_SEVERITY
pqc_kyber-0.7.1,MEDIUM_SEVERITY
trust-dns-proto-0.4.2,LOW_SEVERITY
qcell-0.4.2,MEDIUM_SEVERITY
ed25519-dalek-2.2.0,UNKNOWN
telemetry-0.1.3,MEDIUM_SEVERITY
lzf-0.3.1,MEDIUM_SEVERITY
ouch-0.2.0,UNKNOWN
tls-listener-0.9.1,MEDIUM_SEVERITY
syncpool-0.1.5,HIGH_SEVERITY
pqcrypto-kyber-0.8.1,MEDIUM_SEVERITY
spl-token-swap-3.0.0,UNKNOWN
convec-2.0.1,CRITICAL
better-macro-1.0.4,CRITICAL
get-size-derive-0.1.3,LOW_SEVERITY
interfaces2-0.0.5,CRITICAL
minitrace-0.6.7,MEDIUM_SEVERITY
futures-task-0.3.5,LOW_SEVERITY
