crate_name,sherlock_label,rustsec_label,advisory_type
whoami,LOW_SEVERITY,Uncategorized,Vulnerability
quinn,UNKNOWN,HIGH,INFOUnsound
libsqlite3-sys,LOW_SEVERITY,HIGH,Vulnerability
versionize,MEDIUM_SEVERITY,MEDIUM,Vulnerability
conduit-hyper,HIGH_SEVERITY,HIGH,Vulnerability
model,MEDIUM_SEVERITY,HIGH,INFOUnsound
zerocopy,LOW_SEVERITY,Uncategorized,Vulnerability
arr,HIGH_SEVERITY,Uncategorized,Vulnerability
conqueue,MEDIUM_SEVERITY,HIGH,Vulnerability
metrics-util,LOW_SEVERITY,Uncategorized,Vulnerability
base64,LOW_SEVERITY,CRITICAL,Vulnerability
serde_yaml,SAFE,Uncategorized,Vulnerability
shlex,LOW_SEVERITY,Uncategorized,Vulnerability
lucet-runtime-internals,UNKNOWN,CRITICAL,Vulnerability
truetype,MEDIUM_SEVERITY,HIGH,Vulnerability
concread,MEDIUM_SEVERITY,MEDIUM,INFOUnsound
xsalsa20poly1305,LOW_SEVERITY,INFO,INFOUnmaintained
users,LOW_SEVERITY,INFO,INFOUnmaintained|INFOUnsound
renderdoc,MEDIUM_SEVERITY,CRITICAL,Vulnerability
resolve,MEDIUM_SEVERITY,INFO,INFOUnmaintained
ticketed_lock,HIGH_SEVERITY,HIGH,Vulnerability
mach,LOW_SEVERITY,INFO,INFOUnmaintained
gfx-auxil,LOW_SEVERITY,INFO,INFOUnsound
libsecp256k1-rs,CRITICAL,MEDIUM,Vulnerability
branca,HIGH_SEVERITY,MEDIUM,Vulnerability
algorithmica,HIGH_SEVERITY,Uncategorized,Vulnerability
socket2,LOW_SEVERITY,MEDIUM,INFOUnsound
gtk-layer-shell,MEDIUM_SEVERITY,INFO,INFOUnmaintained
fyrox-core,LOW_SEVERITY,INFO,INFOUnsound
generational-arena,SAFE,INFO,INFOUnmaintained
basic_dsp_matrix,HIGH_SEVERITY,HIGH,Vulnerability
rosenpass,LOW_SEVERITY,Uncategorized,Vulnerability
linked_list_allocator,LOW_SEVERITY,HIGH,Vulnerability
glib,LOW_SEVERITY,INFO,INFOUnsound
zlib-rs,MEDIUM_SEVERITY,MEDIUM,Vulnerability
miow,LOW_SEVERITY,MEDIUM,INFOUnsound
brotli-sys,SAFE,Uncategorized,Vulnerability
cookie,LOW_SEVERITY,HIGH,Vulnerability
asn1_der,LOW_SEVERITY,HIGH,Vulnerability
lexical,SAFE,INFO,INFOUnsound
libsecp256k1,LOW_SEVERITY,HIGH|Uncategorized,Vulnerability
atom,LOW_SEVERITY,MEDIUM,INFOUnsound
bcder,LOW_SEVERITY,HIGH,Vulnerability
ws,LOW_SEVERITY,HIGH,Vulnerability
get-size,LOW_SEVERITY,INFO,INFOUnmaintained
backoff,LOW_SEVERITY,INFO,INFOUnmaintained
alpm-rs,HIGH_SEVERITY,CRITICAL,INFOUnsound
yaml-rust,LOW_SEVERITY,HIGH|INFO,INFOUnmaintained|Vulnerability
rustls-webpki,UNKNOWN,HIGH,Vulnerability
pnet,LOW_SEVERITY,MEDIUM,Vulnerability
hpack,SAFE,INFO|Uncategorized,INFOUnmaintained|Vulnerability
spin,LOW_SEVERITY,HIGH|INFO|Uncategorized,INFOUnmaintained|INFOUnsound|Vulnerability
paillier-zk,HIGH_SEVERITY,Uncategorized,Vulnerability
ozone,CRITICAL,CRITICAL,Vulnerability
mopa,SAFE,INFO,INFOUnsound
remove_dir_all,LOW_SEVERITY,Uncategorized,Vulnerability
safe_vault,HIGH_SEVERITY,INFO,INFOUnmaintained
tiny_http,LOW_SEVERITY,MEDIUM,Vulnerability
gdk-sys,LOW_SEVERITY,INFO,INFOUnmaintained
tauri,UNKNOWN,LOW|MEDIUM,Vulnerability
stack,HIGH_SEVERITY,CRITICAL,Vulnerability
futures-util,LOW_SEVERITY,MEDIUM,Vulnerability
atomic-option,MEDIUM_SEVERITY,MEDIUM,Vulnerability
ruspiro-singleton,HIGH_SEVERITY,HIGH,Vulnerability
buffoon,SAFE,INFO,INFOUnsound
gix-attributes,SAFE,INFO,INFOUnsound
dces,HIGH_SEVERITY,HIGH,Vulnerability
quinn-proto,LOW_SEVERITY,HIGH,Vulnerability
cggmp21-keygen,HIGH_SEVERITY,Uncategorized,Vulnerability
bigint,LOW_SEVERITY,CRITICAL,INFOUnmaintained
bcc,MEDIUM_SEVERITY,INFO,INFOUnmaintained
time,LOW_SEVERITY,MEDIUM,Vulnerability
interledger-packet,MEDIUM_SEVERITY,INFO,INFOUnmaintained
stackvector,MEDIUM_SEVERITY,HIGH,Vulnerability
tar,LOW_SEVERITY,HIGH,Vulnerability
gdkwayland,HIGH_SEVERITY,INFO,INFOUnmaintained
rsa,LOW_SEVERITY,MEDIUM,Vulnerability
cpython,LOW_SEVERITY,INFO,INFOUnmaintained
libwebp-sys,MEDIUM_SEVERITY,Uncategorized,Vulnerability
anstream,LOW_SEVERITY,INFO,INFOUnsound
rusoto_credential,LOW_SEVERITY,INFO,INFOUnmaintained
elf_rs,MEDIUM_SEVERITY,Uncategorized,Vulnerability
nanorand,LOW_SEVERITY,MEDIUM|Uncategorized,Vulnerability
idna,SAFE,Uncategorized,Vulnerability
reorder,HIGH_SEVERITY,HIGH,Vulnerability
zerovec,LOW_SEVERITY,Uncategorized,Vulnerability
signal-simple,CRITICAL,HIGH,Vulnerability
derivative,LOW_SEVERITY,INFO,INFOUnmaintained
trillium-http,MEDIUM_SEVERITY,Uncategorized,Vulnerability
matrix-sdk,LOW_SEVERITY,Uncategorized,Vulnerability
internment,LOW_SEVERITY,CRITICAL|HIGH,Vulnerability
columnar,SAFE,INFO,INFOUnsound
tokio,LOW_SEVERITY,INFO|Uncategorized,INFOUnsound|Vulnerability
grep-cli,LOW_SEVERITY,CRITICAL,Vulnerability
atty,SAFE,INFO,INFOUnmaintained|INFOUnsound
xmp_toolkit,MEDIUM_SEVERITY,INFO,INFOUnsound
opentelemetry_api,LOW_SEVERITY,INFO,INFOUnmaintained
rustc-serialize,LOW_SEVERITY,Uncategorized,Vulnerability
flumedb,CRITICAL,INFO,INFOUnsound
sharks,MEDIUM_SEVERITY,Uncategorized,Vulnerability
rocket,LOW_SEVERITY,HIGH,INFOUnsound
transpose,SAFE,Uncategorized,Vulnerability
curve25519-dalek,SAFE,Uncategorized,Vulnerability
tower-http,LOW_SEVERITY,Uncategorized,Vulnerability
id-map,MEDIUM_SEVERITY,Uncategorized,Vulnerability
v9,HIGH_SEVERITY,HIGH,Vulnerability
dashmap,LOW_SEVERITY,Uncategorized,Vulnerability
gix-transport,LOW_SEVERITY,Uncategorized,Vulnerability
cranelift-codegen,LOW_SEVERITY,HIGH,Vulnerability
net2,LOW_SEVERITY,INFO|MEDIUM,INFOUnmaintained|INFOUnsound
borsh,LOW_SEVERITY,INFO,INFOUnsound
openslide,CRITICAL,INFO,INFOUnmaintained
kvm-ioctls,LOW_SEVERITY,INFO,INFOUnsound
sass-rs,MEDIUM_SEVERITY,INFO,INFOUnmaintained
stdweb,LOW_SEVERITY,INFO,INFOUnmaintained
safe-nd,MEDIUM_SEVERITY,INFO,INFOUnmaintained
cosmwasm,LOW_SEVERITY,INFO,INFOUnmaintained
orbtk,UNKNOWN,INFO,INFOUnmaintained
endian_trait,HIGH_SEVERITY,HIGH,Vulnerability
tokio-rustls,UNKNOWN,HIGH,Vulnerability
tonic,LOW_SEVERITY,Uncategorized,Vulnerability
hashbrown,SAFE,Uncategorized,Vulnerability
atk,LOW_SEVERITY,INFO,INFOUnmaintained
cpuid-bool,SAFE,INFO,INFOUnmaintained
tungstenite,LOW_SEVERITY,HIGH,Vulnerability
static_type_map,SAFE,INFO,INFOUnmaintained
obstack,CRITICAL,HIGH,INFOUnsound
parc,CRITICAL,HIGH,Vulnerability
aesni,SAFE,INFO,INFOUnmaintained
multi_mut,HIGH_SEVERITY,INFO,INFOUnsound
safe_app,HIGH_SEVERITY,INFO,INFOUnmaintained
blake2,LOW_SEVERITY,CRITICAL,Vulnerability
windows,UNKNOWN,INFO,INFOUnsound
const-cstr,LOW_SEVERITY,INFO,INFOUnsound
lever,MEDIUM_SEVERITY,HIGH,Vulnerability
gtk3-macros,LOW_SEVERITY,INFO,INFOUnmaintained
sequoia-openpgp,MEDIUM_SEVERITY,Uncategorized,Vulnerability
term_size,LOW_SEVERITY,INFO,INFOUnmaintained
chrono-english,MEDIUM_SEVERITY,INFO,INFOUnmaintained
libdav1d-sys,MEDIUM_SEVERITY,Uncategorized,Vulnerability
stb_image,MEDIUM_SEVERITY,Uncategorized,Vulnerability
pnet_packet,LOW_SEVERITY,MEDIUM,Vulnerability
sudo-rs,LOW_SEVERITY,LOW,Vulnerability
boxfnonce,SAFE,INFO,INFOUnmaintained
async-coap,CRITICAL,HIGH,Vulnerability
arenavec,CRITICAL,HIGH,Vulnerability
ms3d,HIGH_SEVERITY,HIGH,Vulnerability
evm,LOW_SEVERITY,HIGH,Vulnerability
block-cipher-trait,SAFE,INFO,INFOUnmaintained
uu_od,LOW_SEVERITY,HIGH,Vulnerability
simd-json,LOW_SEVERITY,HIGH,Vulnerability
grcov,LOW_SEVERITY,Uncategorized,Vulnerability
bat,LOW_SEVERITY,HIGH,Vulnerability
openh264-sys2,MEDIUM_SEVERITY,Uncategorized,Vulnerability
bunch,CRITICAL,HIGH,Vulnerability
chttp,LOW_SEVERITY,CRITICAL,Vulnerability
mozjpeg,MEDIUM_SEVERITY,INFO,INFOUnsound
threadalone,CRITICAL,INFO,INFOUnsound
lock_api,LOW_SEVERITY,INFO,INFOUnsound
rdiff,CRITICAL,INFO,INFOUnsound
mapr,MEDIUM_SEVERITY,INFO,INFOUnmaintained
gdkx11,MEDIUM_SEVERITY,INFO,INFOUnmaintained
scottqueue,CRITICAL,HIGH,Vulnerability
untrusted,SAFE,HIGH,Vulnerability
maligned,MEDIUM_SEVERITY,INFO,INFOUnsound
rulex,LOW_SEVERITY,Uncategorized,Vulnerability
parity-util-mem,LOW_SEVERITY,INFO,INFOUnmaintained
cargo-download,UNKNOWN,INFO,INFOUnmaintained
conrod_core,LOW_SEVERITY,INFO,INFOUnmaintained
cdr,LOW_SEVERITY,CRITICAL,Vulnerability
pqc_kyber,MEDIUM_SEVERITY,HIGH,Vulnerability
trust-dns-proto,LOW_SEVERITY,HIGH,Vulnerability
qcell,MEDIUM_SEVERITY,INFO,INFOUnsound
ed25519-dalek,LOW_SEVERITY,Uncategorized,Vulnerability
telemetry,MEDIUM_SEVERITY,CRITICAL,Vulnerability
lzf,MEDIUM_SEVERITY,INFO,INFOUnsound
ouch,LOW_SEVERITY,Uncategorized,Vulnerability
tls-listener,MEDIUM_SEVERITY,HIGH,Vulnerability
syncpool,HIGH_SEVERITY,HIGH,Vulnerability
pqcrypto-kyber,MEDIUM_SEVERITY,INFO,INFOUnmaintained
spl-token-swap,LOW_SEVERITY,INFO,INFOUnsound
convec,CRITICAL,HIGH,Vulnerability
better-macro,CRITICAL,Uncategorized,Vulnerability
get-size-derive,LOW_SEVERITY,INFO,INFOUnmaintained
interfaces2,CRITICAL,INFO,INFOUnmaintained
minitrace,MEDIUM_SEVERITY,INFO,INFOUnmaintained
futures-task,LOW_SEVERITY,HIGH|MEDIUM,Vulnerability
cassandra,MEDIUM_SEVERITY,INFO,INFOUnmaintained
tracing,SAFE,INFO,INFOUnsound
bra,HIGH_SEVERITY,CRITICAL,Vulnerability
pyo3,LOW_SEVERITY,MEDIUM|Uncategorized,Vulnerability
multipart,LOW_SEVERITY,INFO,INFOUnmaintained
portaudio,MEDIUM_SEVERITY,MEDIUM,Vulnerability
comrak,LOW_SEVERITY,MEDIUM|Uncategorized,Vulnerability
