name,rustsec_label,advisory_type
rustsec,UNCATEGORIZED,VULNERABILITY
rusqlite,UNCATEGORIZED,VULNERABILITY
spin,UNCATEGORIZED,INFOUNMAINTAINED
simple-slab,UNCATEGORIZED,VULNERABILITY
ncurses,UNCATEGORIZED,VULNERABILITY
rustsec-example-crate,UNCATEGORIZED,VULNERABILITY
fake-static,UNCATEGORIZED,VULNERABILITY
serde_yaml,UNCATEGORIZED,VULNERABILITY
rmpv,UNCATEGORIZED,VULNERABILITY
arr,UNCATEGORIZED,VULNERABILITY
streebog,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
cargo,UNCATEGORIZED,VULNERABILITY
paste,UNCATEGORIZED,INFOUNMAINTAINED
ring,UNCATEGORIZED,INFOUNMAINTAINED
openpgp-card-sequoia,UNCATEGORIZED,INFOUNMAINTAINED
backoff,UNCATEGORIZED,INFOUNMAINTAINED
resolve,UNCATEGORIZED,INFOUNMAINTAINED
fyrox-core,UNCATEGORIZED,INFOUNSOUND
matrix-sdk-crypto,UNCATEGORIZED,INFONOTICE
xous,UNCATEGORIZED,INFOUNSOUND
glib,UNCATEGORIZED,INFOUNSOUND
spl-token-swap,UNCATEGORIZED,INFOUNSOUND
get-size,UNCATEGORIZED,INFOUNMAINTAINED
kvm-ioctls,UNCATEGORIZED,INFOUNSOUND
get-size-derive,UNCATEGORIZED,INFOUNMAINTAINED
libafl,UNCATEGORIZED,INFOUNSOUND
atk-sys,UNCATEGORIZED,INFOUNMAINTAINED
gtk-sys,UNCATEGORIZED,INFOUNMAINTAINED
gdkx11,UNCATEGORIZED,INFOUNMAINTAINED
gdkwayland,UNCATEGORIZED,INFOUNMAINTAINED
gtk3-macros,UNCATEGORIZED,INFOUNMAINTAINED
gtk-layer-shell-sys,UNCATEGORIZED,INFOUNMAINTAINED
gtk,UNCATEGORIZED,INFOUNMAINTAINED
gtk-layer-shell,UNCATEGORIZED,INFOUNMAINTAINED
gdk,UNCATEGORIZED,INFOUNMAINTAINED
gdk-sys,UNCATEGORIZED,INFOUNMAINTAINED
gdkwayland-sys,UNCATEGORIZED,INFOUNMAINTAINED
gdkx11-sys,UNCATEGORIZED,INFOUNMAINTAINED
atk,UNCATEGORIZED,INFOUNMAINTAINED
pprof,UNCATEGORIZED,INFOUNSOUND
serial,UNCATEGORIZED,INFOUNMAINTAINED
linkme,UNCATEGORIZED,INFOUNSOUND
multi_mut,UNCATEGORIZED,INFOUNSOUND
anstream,UNCATEGORIZED,INFOUNSOUND
pqcrypto-dilithium,UNCATEGORIZED,INFOUNMAINTAINED
derivative,UNCATEGORIZED,INFOUNMAINTAINED
chrono-english,UNCATEGORIZED,INFOUNMAINTAINED
strason,UNCATEGORIZED,INFOUNMAINTAINED
minitrace,UNCATEGORIZED,INFOUNMAINTAINED
hwloc,UNCATEGORIZED,INFOUNMAINTAINED
cw0,UNCATEGORIZED,INFOUNMAINTAINED
openslide,UNCATEGORIZED,INFOUNMAINTAINED
pqcrypto-kyber,UNCATEGORIZED,INFOUNMAINTAINED
conrod_core,UNCATEGORIZED,INFOUNMAINTAINED
opentelemetry_api,UNCATEGORIZED,INFOUNMAINTAINED
instant,UNCATEGORIZED,INFOUNMAINTAINED
mmap,UNCATEGORIZED,INFOUNMAINTAINED
loopdev,UNCATEGORIZED,INFOUNMAINTAINED
bcc,UNCATEGORIZED,INFOUNMAINTAINED
mimalloc,UNCATEGORIZED,INFOUNSOUND
simd-json-derive,UNCATEGORIZED,INFOUNSOUND
conrod,UNCATEGORIZED,INFOUNMAINTAINED
fast-float,UNCATEGORIZED,INFOUNSOUND
atty,UNCATEGORIZED,INFOUNMAINTAINED
lexical-core,UNCATEGORIZED,INFOUNSOUND
proc-macro-error,UNCATEGORIZED,INFOUNMAINTAINED
xmp_toolkit,UNCATEGORIZED,INFOUNSOUND
gix-attributes,UNCATEGORIZED,INFOUNSOUND
zip_next,UNCATEGORIZED,INFOUNMAINTAINED
libp2p-tokio-socks5,UNCATEGORIZED,INFOUNMAINTAINED
rsa-export,UNCATEGORIZED,INFOUNMAINTAINED
puccinier,UNCATEGORIZED,INFOUNMAINTAINED
yaml-rust,UNCATEGORIZED,INFOUNMAINTAINED
hpack,UNCATEGORIZED,INFOUNMAINTAINED
cassandra-cpp,UNCATEGORIZED,INFOUNSOUND
safemem,UNCATEGORIZED,INFOUNMAINTAINED
filesystem,UNCATEGORIZED,INFOUNMAINTAINED
generational-arena,UNCATEGORIZED,INFOUNMAINTAINED
